"CodeObj","Vaddr","Instruction","Hitcount","Latency","Stall","Idle","Source"
26,7136,"v_accvgpr_write_b32 a32, 0",1056,5056,832,44,""
26,7144,"v_accvgpr_write_b32 a3, 0",1056,5556,1324,0,""
26,7152,"v_accvgpr_write_b32 a2, 0",1056,4484,260,0,""
26,7160,"v_accvgpr_write_b32 a1, 0",1056,5044,820,0,""
26,7168,"v_accvgpr_write_b32 a0, 0",1056,5536,1312,20,""
26,7176,"v_mov_b32_e32 v21, v19",1056,4452,228,0,""
26,7180,"v_lshlrev_b32_e32 v18, 1, v20",1056,5080,856,0,""
26,7184,"v_mov_b32_e32 v4, 0",1056,5396,1172,0,""
26,7188,"v_mov_b32_e32 v5, 0",1056,4464,240,0,""
26,7192,"v_mov_b32_e32 v6, 0",1056,5024,800,0,""
26,7196,"v_mov_b32_e32 v7, 0",1056,5236,1008,0,""
26,7200,"v_mov_b32_e32 v8, 0",1056,4464,236,0,""
26,7204,"v_mov_b32_e32 v9, 0",1056,5016,792,0,""
26,7208,"s_waitcnt vmcnt(0)",1056,480732,480732,0,""
26,7212,"v_ashrrev_i32_e32 v3, 31, v2",1056,15352,11128,0,""
26,7216,"v_alignbit_b32 v1, v3, v2, 1",1056,11116,6892,0,""
26,7224,"v_cmp_lt_i64_e32 vcc, s[8:9], v[2:3]",1056,9144,4920,0,""
26,7228,"v_mad_u64_u32 v[24:25], s[8:9], v1, s14, 0",1056,8668,4444,0,""
26,7236,"v_cmp_gt_i64_e64 s[0:1], s[18:19], v[2:3]",1056,7420,3196,0,""
26,7244,"v_mad_i32_i24 v25, v3, s14, v25",1056,6416,2192,0,""
26,7252,"v_mov_b32_e32 v2, 0",1056,7372,3148,0,""
26,7256,"v_mov_b32_e32 v3, 0",1056,6264,2040,0,""
26,7260,"v_mov_b32_e32 v10, 0",1056,11432,7208,0,""
26,7264,"v_mov_b32_e32 v11, 0",1056,8752,4528,0,""
26,7268,"v_mov_b32_e32 v12, 0",1056,8924,4700,0,""
26,7272,"v_mov_b32_e32 v13, 0",1056,6412,2188,0,""
26,7276,"v_mov_b32_e32 v14, 0",1056,5324,1096,0,""
26,7280,"v_mov_b32_e32 v15, 0",1056,4876,652,0,""
26,7284,"v_mov_b32_e32 v16, 0",1056,4692,464,0,""
26,7288,"v_mov_b32_e32 v17, 0",1056,4868,640,0,""
26,7292,"s_and_saveexec_b64 s[8:9], s[0:1]",1056,4304,80,0,""
26,7296,"s_cbranch_execz 14",1056,4228,4,4224,""
26,7300,"v_lshl_add_u64 v[2:3], s[2:3], 0, v[24:25]",1032,4272,144,0,""
26,7308,"v_mov_b32_e32 v5, 0",1032,4744,616,0,""
26,7312,"v_mov_b32_e32 v4, v18",1032,4620,492,0,""
26,7316,"v_lshl_add_u64 v[22:23], v[2:3], 0, v[4:5]",1032,5080,940,0,""
